=== Información de circuitos ejecutados ===
Circuito: bernstein-vazirani.py | Registros clásicos: c0 - c3 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c4 - c7 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c8 - c10 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c11 - c12 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c13 - c15 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c16 - c19 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c20 - c23 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c24 - c27 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c28 - c29 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c30 - c33 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c34 - c36 | Iteración: 1 | Batch: 2
Circuito: tsp.py | Registros clásicos: c37 - c39 | Iteración: 1 | Batch: 2
Circuito: qwalk.py | Registros clásicos: c40 - c42 | Iteración: 1 | Batch: 2
Circuito: grover.py | Registros clásicos: c43 - c44 | Iteración: 1 | Batch: 2
Circuito: grover.py | Registros clásicos: c45 - c46 | Iteración: 1 | Batch: 2
Circuito: phase_estimation.py | Registros clásicos: c47 - c50 | Iteración: 1 | Batch: 2
Circuito: qaoa.py | Registros clásicos: c51 - c52 | Iteración: 1 | Batch: 2
Circuito: full_adder.py | Registros clásicos: c53 - c56 | Iteración: 1 | Batch: 2
Circuito: qft.py | Registros clásicos: c57 - c59 | Iteración: 1 | Batch: 2
Circuito: shor.py | Registros clásicos: c60 - c63 | Iteración: 1 | Batch: 2
Circuito: simon.py | Registros clásicos: c64 - c69 | Iteración: 1 | Batch: 3
Circuito: kickback.py | Registros clásicos: c70 - c71 | Iteración: 1 | Batch: 3
Circuito: bernstein-vazirani.py | Registros clásicos: c72 - c75 | Iteración: 1 | Batch: 3
Circuito: simon.py | Registros clásicos: c76 - c81 | Iteración: 1 | Batch: 3
