=== Información de circuitos ejecutados ===
Circuito: phase_estimation.py | Registros clásicos: c0 - c3 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c4 - c7 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c8 - c11 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c12 - c15 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c16 - c19 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c20 - c22 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c23 - c25 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c26 - c27 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c28 - c29 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c30 - c32 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c33 - c34 | Iteración: 1 | Batch: 2
Circuito: simon.py | Registros clásicos: c35 - c40 | Iteración: 1 | Batch: 2
