=== Información de circuitos ejecutados ===
Circuito: full_adder.py | Registros clásicos: c0 - c3 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c4 - c5 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c6 - c11 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c12 - c14 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c15 - c17 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c18 - c20 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c21 - c24 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c25 - c28 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c29 - c32 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c33 - c36 | Iteración: 1 | Batch: 2
Circuito: qaoa.py | Registros clásicos: c37 - c38 | Iteración: 1 | Batch: 2
Circuito: kickback.py | Registros clásicos: c39 - c40 | Iteración: 1 | Batch: 2
