=== Información de circuitos ejecutados ===
Circuito: bernstein-vazirani.py | Registros clásicos: c0 - c3 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c4 - c9 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c10 - c13 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c14 - c15 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c16 - c18 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c19 - c22 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c23 - c25 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c26 - c27 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c28 - c30 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c31 - c34 | Iteración: 1 | Batch: 2
Circuito: Deutsch-Jozsa.py | Registros clásicos: c35 - c38 | Iteración: 1 | Batch: 2
Circuito: grover.py | Registros clásicos: c39 - c40 | Iteración: 1 | Batch: 2
