=== Información de circuitos ejecutados ===
Circuito: qaoa.py | Registros clásicos: c0 - c1 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c2 - c5 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c6 - c9 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c10 - c15 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c16 - c19 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c20 - c22 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c23 - c24 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c25 - c28 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c29 - c32 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c33 - c34 | Iteración: 1 | Batch: 2
Circuito: qwalk.py | Registros clásicos: c35 - c37 | Iteración: 1 | Batch: 2
Circuito: tsp.py | Registros clásicos: c38 - c40 | Iteración: 1 | Batch: 2
