=== Información de circuitos ejecutados ===
Circuito: phase_estimation.py | Registros clásicos: c0 - c3 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c4 - c5 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c6 - c8 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c9 - c14 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c15 - c18 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c19 - c22 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c23 - c26 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c27 - c28 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c29 - c31 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c32 - c33 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c34 - c37 | Iteración: 1 | Batch: 2
Circuito: qwalk.py | Registros clásicos: c38 - c40 | Iteración: 1 | Batch: 2
