=== Información de circuitos ejecutados ===
Circuito: bernstein-vazirani.py | Registros clásicos: c0 - c3 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c4 - c7 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c8 - c10 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c11 - c16 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c17 - c20 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c21 - c24 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c25 - c27 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c28 - c31 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c32 - c33 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c34 - c35 | Iteración: 1 | Batch: 2
Circuito: qft.py | Registros clásicos: c36 - c38 | Iteración: 1 | Batch: 2
Circuito: qaoa.py | Registros clásicos: c39 - c40 | Iteración: 1 | Batch: 2
