=== Información de circuitos ejecutados ===
Circuito: qwalk.py | Registros clásicos: c0 - c2 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c3 - c6 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c7 - c10 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c11 - c13 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c14 - c16 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c17 - c22 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c23 - c24 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c25 - c28 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c29 - c32 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c33 - c36 | Iteración: 1 | Batch: 2
Circuito: grover.py | Registros clásicos: c37 - c38 | Iteración: 1 | Batch: 2
Circuito: kickback.py | Registros clásicos: c39 - c40 | Iteración: 1 | Batch: 2
