=== Información de circuitos ejecutados ===
Circuito: full_adder.py | Registros clásicos: c0 - c3 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c4 - c7 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c8 - c10 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c11 - c16 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c17 - c18 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c19 - c20 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c21 - c22 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c23 - c26 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c27 - c30 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c31 - c33 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c34 - c36 | Iteración: 1 | Batch: 2
Circuito: Deutsch-Jozsa.py | Registros clásicos: c37 - c40 | Iteración: 1 | Batch: 2
