=== Información de circuitos ejecutados ===
Circuito: simon.py | Registros clásicos: c0 - c5 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c6 - c9 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c10 - c12 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c13 - c14 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c15 - c18 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c19 - c21 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c22 - c25 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c26 - c27 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c28 - c31 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c32 - c35 | Iteración: 1 | Batch: 2
Circuito: grover.py | Registros clásicos: c36 - c37 | Iteración: 1 | Batch: 2
Circuito: qft.py | Registros clásicos: c38 - c40 | Iteración: 1 | Batch: 2
