=== Información de circuitos ejecutados ===
Circuito: qft.py | Registros clásicos: c0 - c2 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c3 - c6 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c7 - c8 | Iteración: 1 | Batch: 1
Circuito: tsp.py | Registros clásicos: c9 - c11 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c12 - c13 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c14 - c17 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c18 - c20 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c21 - c24 | Iteración: 1 | Batch: 1
Circuito: Deutsch-Jozsa.py | Registros clásicos: c25 - c28 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c29 - c30 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c31 - c36 | Iteración: 1 | Batch: 2
Circuito: phase_estimation.py | Registros clásicos: c37 - c40 | Iteración: 1 | Batch: 2
